"Titolo,descrizione,prezzo,prezzo scontato,descrizione breve,categoria,autore,casa editrice,editore,numero pagine,lunghezza,larghezza,altezza,peso,SKU"
"La Biblioteca dei Sogni Perduti,""Un archivio segreto dove ogni libro contiene i sogni dimenticati dell’umanità."",19.90,14.90,""Un viaggio nei sogni perduti e nelle memorie cancellate."",""Fantasy steampunk"",""Luca Ferri"",""Edizioni Aurora"",""Editrice Aliseo"",320,21.0,14.0,2.5,0.45,SKU-0001"
"L’Ultimo Codice dell’Impero,""Un hacker scopre un linguaggio antico nascosto nei sistemi di un impero scomparso."",22.50,17.50,""Cyber mistero tra tecnologia e storia antica."",""Thriller cyberstorico"",""Giulia Romano"",""Libri del Mare"",""Casa Editrice Nebula"",410,21.5,13.5,3.0,0.52,SKU-0002"
"Il Respiro delle Ombre,""Una città dove le ombre prendono vita durante la notte più lunga dell’anno."",18.00,13.50,""Horror urbano tra luce e oscurità."",""Horror urbano"",""Marco De Santis"",""Orizzonti Letterari"",""Tipografia Solaris"",290,20.0,13.0,2.2,0.40,SKU-0003"
"Le Mappe del Tempo Inverso,""Un cartografo disegna mappe che mostrano il futuro invece del passato."",21.00,16.00,""Avventura tra tempo e destino."",""Fantascienza temporale"",""Luca Ferri"",""Nuova Penna"",""Edizioni Vortice"",360,21.0,14.0,2.8,0.48,SKU-0004"
"Il Giardino delle Macchine Viventi,""Un botanico scopre piante meccaniche in grado di pensare."",23.90,18.90,""Bio-meccanica e natura artificiale."",""Sci-fi biopunk"",""Giulia Romano"",""Edizioni Aurora"",""Stampa Quantica"",390,22.0,15.0,3.2,0.60,SKU-0005"
"Le Cronache di Nebulor,""Un regno sospeso tra galassie in guerra e antiche profezie."",24.00,19.00,""Epic fantasy spaziale."",""Fantasy epico spaziale"",""Marco De Santis"",""Libri del Mare"",""Editoria Celeste"",520,23.0,15.0,4.0,0.75,SKU-0006"
"Il Silenzio delle Statue Parlanti,""In un museo, le statue iniziano a comunicare tra loro di notte."",17.50,12.90,""Mystery soprannaturale museale."",""Mystery soprannaturale"",""Luca Ferri"",""Orizzonti Letterari"",""Officina Libra"",310,20.5,13.5,2.6,0.44,SKU-0007"
"Protocollo Aurora Nera,""Un esperimento militare fuori controllo minaccia il pianeta."",25.00,19.90,""Thriller scientifico ad alta tensione."",""Thriller scientifico"",""Giulia Romano"",""Nuova Penna"",""Edizioni Kronos"",430,22.0,14.5,3.5,0.68,SKU-0008"
"La Città sotto il Mare di Vetro,""Una civiltà sommersa vive in strutture trasparenti sotto l’oceano."",20.00,15.00,""Avventura subacquea futuristica."",""Fantascienza oceanica"",""Marco De Santis"",""Edizioni Aurora"",""BlueWave Books"",370,21.0,14.0,3.0,0.55,SKU-0009"
"Il Libro delle Identità Frammentate,""Ogni capitolo racconta una vita diversa dello stesso protagonista."",18.90,14.00,""Dramma psicologico e identità."",""Romanzo psicologico"",""Luca Ferri"",""Libri del Mare"",""Edizioni Prisma"",280,20.0,13.0,2.1,0.38,SKU-0010"
"Le Ombre del Domani,""Un investigatore vede i crimini prima che accadano."",22.00,17.00,""Crime e premonizioni."",""Noir futuristico"",""Giulia Romano"",""Orizzonti Letterari"",""BlackInk Press"",340,21.0,14.0,2.9,0.50,SKU-0011"
"L’Accademia dei Ricordi Artificiali,""Studenti imparano a creare e cancellare memorie."",23.00,18.00,""Dystopia tecnologica educativa."",""Distopia tecnologica"",""Marco De Santis"",""Nuova Penna"",""MemoryLine Edizioni"",400,22.0,14.5,3.3,0.62,SKU-0012"
"Il Mare che Scriveva Lettere,""L’oceano restituisce messaggi scritti sulla sabbia."",16.50,12.00,""Romanzo poetico e surreale."",""Realismo magico"",""Luca Ferri"",""Edizioni Aurora"",""Costa Editoriale"",260,19.5,13.0,2.0,0.35,SKU-0013"
"Codex delle Civiltà Perdute,""Un archeologo scopre un codice che racconta mondi scomparsi."",21.50,16.50,""Avventura archeologica globale."",""Avventura archeologica"",""Giulia Romano"",""Libri del Mare"",""Antares Press"",380,21.5,14.0,3.1,0.57,SKU-0014"
"Il Laboratorio dei Sogni Sintetici,""Scienziati creano sogni programmabili per curare la mente."",24.50,19.50,""Psicologia e tecnologia onirica."",""Sci-fi psicologica"",""Marco De Santis"",""Orizzonti Letterari"",""DreamForge Books"",450,22.5,15.0,3.6,0.70,SKU-0015"
"La Guerra dei Frattali Infiniti,""Un conflitto si sviluppa dentro strutture matematiche viventi."",26.00,20.00,""Fantascienza matematica estrema."",""Fantascienza matematica"",""Luca Ferri"",""Nuova Penna"",""Fractal Edizioni"",500,23.0,15.5,4.2,0.80,SKU-0016"
"Il Faro delle Realtà Parallele,""Un faro guida viaggiatori tra universi alternativi."",19.50,14.50,""Multiverso e avventura."",""Fantascienza multiverso"",""Giulia Romano"",""Edizioni Aurora"",""Parallel Books"",330,21.0,14.0,2.7,0.49,SKU-0017"
"Le Notti del Teatro Invisibile,""Spettacoli che esistono solo per chi non dorme."",17.90,13.00,""Fiction teatrale onirica."",""Narrativa surreale"",""Marco De Santis"",""Libri del Mare"",""StageLine Press"",300,20.0,13.5,2.3,0.42,SKU-0018"
"Il Viandante delle Linee Temporali,""Un uomo vive più versioni della sua vita simultaneamente."",22.90,17.90,""Viaggi temporali e scelte."",""Fantascienza temporale"",""Luca Ferri"",""Orizzonti Letterari"",""Chronos Editori"",420,22.0,14.5,3.4,0.65,SKU-0019"
"La Macchina delle Emozioni Perdute,""Un dispositivo recupera emozioni dimenticate dagli umani."",23.20,18.20,""Sci-fi emotiva e introspezione."",""Sci-fi emotiva"",""Giulia Romano"",""Nuova Penna"",""EmotionLab Books"",390,21.5,14.0,3.0,0.58,SKU-0020"
"Il Regno delle Luci Verticali,""Una città costruita in torri di luce pura."",""Fantascienza architettonica"",""Marco De Santis"",""Edizioni Aurora"",""Lumen Press"",360,21.0,14.0,3.2,0.60,SKU-0021"
"Le Parole che Uccidono il Tempo,""Un linguaggio antico può fermare il tempo."",""Fantasy linguistico"",""Luca Ferri"",""Libri del Mare"",""Verbum Edizioni"",310,20.5,13.5,2.6,0.47,SKU-0022"
"L’Eredità del Pianeta Dormiente,""Un pianeta cosciente si risveglia dopo milioni di anni."",""Fantascienza planetaria"",""Giulia Romano"",""Orizzonti Letterari"",""Orbital Books"",480,22.5,15.0,3.8,0.72,SKU-0023"
"Il Museo delle Storie Mai Accadute,""Un museo espone eventi che non sono mai esistiti."",""Fantasy storico"",""Marco De Santis"",""Nuova Penna"",""Historia Nova"",340,21.0,14.0,2.9,0.53,SKU-0024"
"La Rotta delle Stelle Silenti,""Esploratori viaggiano verso stelle che non emettono luce."",""Fantascienza spaziale"",""Luca Ferri"",""Edizioni Aurora"",""StellarWay Press"",410,22.0,14.5,3.3,0.66,SKU-0025"
