Titolo,Descrizione,Prezzo,Prezzo Scontato,Descrizione Breve,Categoria,Autore,Casa Editrice,Editore,Numero Pagine,Peso (kg),Dimensioni (cm),SKU
Nebbie su Eldoria,Un romanzo fantasy ambientato in un regno sospeso tra magia e intrighi politici.,19.90,15.90,Fantasy epico con magia e battaglie.,Fantasy,Luca Ferretti,Aurora Edizioni,Marco Bianchi,412,0.48,15x22x3,SKU-BOOK-001
Il Codice di Vetro,Thriller tecnologico su un algoritmo capace di prevedere il futuro.,18.50,14.99,Thriller high-tech pieno di colpi di scena.,Thriller,Giulia Rinaldi,Nova Libri,Sara Conti,368,0.42,14x21x2.8,SKU-BOOK-002
Cuori di Cenere,Dramma romantico ambientato nella Torino del dopoguerra.,16.90,12.90,Romanzo romantico intenso e malinconico.,Romanzo Rosa,Chiara Valentini,Luna Press,Andrea Greco,295,0.37,14x21x2.2,SKU-BOOK-003
L'Ultima Frontiera,Avventura spaziale con esploratori dispersi ai confini della galassia.,22.00,17.50,Fantascienza ricca di azione e mistero.,Fantascienza,Davide Morelli,Cosmo House,Elena Serra,510,0.61,16x24x3.5,SKU-BOOK-004
La Formula Perduta,Un matematico scopre un'equazione che potrebbe cambiare il mondo.,17.40,13.99,Mistero scientifico avvincente.,Giallo,Luca Ferretti,Aurora Edizioni,Riccardo Neri,330,0.39,14x21x2.5,SKU-BOOK-005
Ricette dal Mare,Raccolta di piatti tradizionali ispirati alla cucina mediterranea.,24.90,19.90,Libro culinario con ricette di pesce.,Cucina,Martina De Luca,Sapori Editore,Claudia Riva,280,0.73,19x26x2,SKU-BOOK-006
Le Ombre di Kyoto,Viaggio spirituale tra templi antichi e segreti di famiglia.,20.00,15.50,Narrativa orientale intensa e suggestiva.,Narrativa Orientale,Giulia Rinaldi,Nova Libri,Paolo Vitale,390,0.44,15x22x2.7,SKU-BOOK-007
Il Re dei Circuiti,Biografia immaginaria di un genio dell'elettronica.,21.50,16.99,Storia di innovazione e ambizione.,Biografia,Enrico Sala,Future Ink,Marta Galli,340,0.41,15x23x2.4,SKU-BOOK-008
Atlante dei Mondi Perduti,Enciclopedia illustrata di civiltà dimenticate.,29.90,24.90,Volume illustrato ricco di dettagli.,Enciclopedia,Alessio Fontana,Atlas Works,Federica Bruno,620,1.10,21x29x4,SKU-BOOK-009
L'Arte del Silenzio,Saggio sulla meditazione e la crescita personale.,15.00,11.90,Guida pratica alla consapevolezza.,Crescita Personale,Chiara Valentini,Luna Press,Stefano Villa,210,0.29,13x20x1.8,SKU-BOOK-010
Cronache del Deserto Rosso,Storia post-apocalittica ambientata su Marte.,23.40,18.70,Sci-fi survival intensa.,Post-Apocalittico,Davide Morelli,Cosmo House,Valentina Marchetti,470,0.58,16x24x3.1,SKU-BOOK-011
Il Giardino delle Verità,Romanzo psicologico su memorie e identità.,18.80,14.20,Drama psicologico elegante.,Psicologico,Martina De Luca,Sapori Editore,Fabio Leone,355,0.40,14x21x2.6,SKU-BOOK-012
Economia Invisibile,Analisi narrativa delle dinamiche economiche globali.,26.00,20.90,Economia spiegata in modo accessibile.,Economia,Enrico Sala,Future Ink,Laura Bellini,430,0.55,17x24x3,SKU-BOOK-013
Misteri sotto Venezia,Indagine noir nei canali della laguna.,17.90,13.50,Noir italiano atmosferico.,Noir,Luca Ferretti,Aurora Edizioni,Giovanni Rizzi,318,0.36,14x21x2.3,SKU-BOOK-014
I Custodi del Tempo,Viaggio temporale tra epoche storiche alternative.,21.90,17.20,Avventura temporale mozzafiato.,Time Travel,Giulia Rinaldi,Nova Libri,Silvia Ferri,488,0.60,16x23x3.2,SKU-BOOK-015
Manuale del Perfetto Giardiniere,Tecniche avanzate per coltivare ogni tipo di pianta.,19.50,15.00,Guida completa al giardinaggio.,Giardinaggio,Alessio Fontana,Atlas Works,Carlo D'Amico,305,0.50,18x25x2.1,SKU-BOOK-016
Venti del Nord,Saga storica ambientata nell'Islanda medievale.,24.00,18.90,Romanzo storico epico.,Storico,Chiara Valentini,Luna Press,Alberto Romano,540,0.69,16x24x3.7,SKU-BOOK-017
Il Teatro delle Maschere,Commedia satirica ambientata nella Roma moderna.,14.90,10.99,Satira brillante e pungente.,Commedia,Davide Morelli,Cosmo House,Lucia Caruso,240,0.27,13x20x1.7,SKU-BOOK-018
Segreti di Pietra,Archeologi scoprono un'antica città sotterranea.,22.40,17.80,Avventura archeologica ricca di misteri.,Avventura,Martina De Luca,Sapori Editore,Francesca Ricci,450,0.57,15x23x3,SKU-BOOK-019
Musica per l'Anima,Raccolta poetica ispirata al jazz.,13.90,9.90,Poesia contemporanea musicale.,Poesia,Enrico Sala,Future Ink,Daniela Fiore,180,0.22,12x19x1.4,SKU-BOOK-020
L'Equazione del Caos,Studio divulgativo sui sistemi complessi.,27.00,21.50,Scienza spiegata con esempi pratici.,Scienza,Luca Ferretti,Aurora Edizioni,Roberto Longo,500,0.64,17x24x3.4,SKU-BOOK-021
Anime di Carta,Racconto di formazione ambientato in una libreria antica.,16.50,12.80,Narrativa emozionante sui libri.,Narrativa,Giulia Rinaldi,Nova Libri,Elisa Martinelli,290,0.34,14x20x2,SKU-BOOK-022
Strategie di Guerra Digitale,Analisi delle cyber guerre del futuro.,25.50,19.99,Cybersecurity e geopolitica.,Cybersecurity,Alessio Fontana,Atlas Works,Tommaso Pini,410,0.53,16x23x2.9,SKU-BOOK-023
Il Respiro della Foresta,Romanzo ecologista tra natura e sopravvivenza.,18.20,14.00,Storia intensa sul rapporto uomo-natura.,Ecologia,Chiara Valentini,Luna Press,Irene Moretti,345,0.38,14x21x2.4,SKU-BOOK-024
Oltre il Labirinto,Fantasy dark con antichi culti e reliquie proibite.,23.90,18.40,Dark fantasy ricco di misteri.,Dark Fantasy,Davide Morelli,Cosmo House,Nicola Ferraro,530,0.67,16x24x3.6,SKU-BOOK-025
